t,I,H
0,5.0,2.0
1,4.901578872905694,1.7974172435706572
2,4.876538305915493,1.6153721841316053
3,4.912419851503213,1.451828850356768
4,4.999638869335341,1.304952946057285
5,5.1308680508978,1.173091555402551
6,5.3005571427395575,1.054755061195305
7,5.5045580899564674,0.9486009815611286
8,5.739833359035941,0.8534194997093087
9,6.004228679379852,0.7681204765546503
10,6.296296127974618,0.691721775506772
11,6.61515671204371,0.6233387544429395
12,6.960393673029139,0.5621747963478638
13,7.3319699386421195,0.5075127700083376
14,7.730164411137893,0.45870732357951405
15,8.15552302157078,0.41517792613438126
16,8.608821514702786,0.37640258503312535
17,9.091037269008332,0.34191216947230607
18,9.60332839687697,0.3112852830994608
19,10.147018541852328,0.28414363233536166
20,10.723586241435177,0.26014784291379633
21,11.334657927378682,0.23899368224355855
22,11.98200387459373,0.22040864919544473
23,12.667536511182542,0.20414889563738636
24,13.393310718802939,0.18999644961665707
25,14.16152577120118,0.17775671137939458
26,14.974528657316643,0.16725619643389306
27,15.834818611563616,0.15834050248025455
28,16.74505269978381,0.15087247938917894
29,17.708052357789807,0.1447305822956872
30,18.72681082335382,0.13980739442496165
31,19.804501340143027,0.1360082909769365
32,20.944486217412766,0.13325025116813655
33,22.15032664233732,0.13146079033551897
34,23.42579323654717,0.13057700151288162
35,24.77487743321721,0.1305447040710822
36,26.20180350173731,0.13131766817712703
37,27.711041590321027,0.13285695049627078
38,29.307321430652784,0.13513028348173275
39,30.99564693201657,0.13811153852941355
40,32.78131170595597,0.14178025584398748
41,34.669915553604326,0.14612123041536712
42,36.66738185791682,0.15112414475984418
43,38.77997609968326,0.1567832539754562
44,41.01432509073122,0.16309709989361879
45,43.377438149210995,0.17006829505626322
46,45.87672901589931,0.1777033326249725
47,48.52003847850825,0.18601237981453023
48,51.3156593241041,0.19500917374147286
49,54.27236206425802,0.20471090612595474
50,57.399422548498485,0.21513814482225946
51,60.7066508598972,0.2263147777468777
52,64.20442201010152,0.23826797465675614
53,67.90370843806498,0.2510281782083728
54,71.81611426642024,0.26462911204328543
55,75.95391166055053,0.27910780632227294
56,80.33007900257246,0.2945046465470658
57,84.95834178716561,0.3108634316180154
58,89.85321520917569,0.3282314591945107
59,95.03004973368398,0.3466596211875349
60,100.50507892368317,0.3662025186205158
61,106.29547018094733,0.38691859102191395
62,112.41937839698222,0.40887026350829725
63,118.89600246401395,0.43212410902636816
64,125.74564544665647,0.4567510279749729
65,132.9897775382038,0.48282644353129484
66,140.65110349076494,0.5104305144639818
67,148.75363280491044,0.5396483641582278
68,157.32275534107202,0.5705703293480124
69,166.3853190846845,0.6032922232502789
70,175.96971467960446,0.6379156219827112
71,186.10596413162497,0.674548168333966
72,196.8258135204609,0.7133038944418894
73,208.1628313227031,0.7543035692017753
74,220.15251351481015,0.7976750634969614
75,232.83239305749902,0.8435537420726796
76,246.24215646576135,0.8920828763846244
77,260.4237670309588,0.9434140852511679
78,275.4215947693781,0.9977078011864804
79,291.28255349492844,1.0551337629649353
80,308.05624625739114,1.1158715421768497
81,325.79511803483115,1.180111094413746
82,344.5546181958703,1.2480533480025406
83,364.39337103120243,1.319910823172826
84,385.37335646594937,1.3959082898273871
85,407.5601010197321,1.4762834636299136
86,431.0228786071015,1.5612877381009922
87,455.8349238080702,1.6511869645451747
88,482.0736555402406,1.7462622700378831
89,509.82091476987847,1.8468109284402956
90,539.1632142157149,1.9531472760664779
91,570.1920022966511,2.065603681398322
92,603.0039422714294,2.1845315724322343
93,637.7012052898851,2.3103025149323586
94,674.3917813443754,2.4433093586001573
95,713.1898053661439,2.5839674405636344
96,754.2159031381791,2.7327158650478016
97,797.5975548317748,2.8900188489273977
98,843.4694782035214,3.0563671420242473
99,891.9740337826258,3.232279532445914
100,943.2616498023563,3.4183044260221576
101,997.491271904038,3.615021520632754
102,1054.830835755575,3.8230435697461784
103,1115.4577657008126,4.043018249930653
104,1179.559498835811,4.275630122113319
105,1247.3340370747735,4.521602702904973
106,1318.9905286118112,4.781700653226418
107,1394.7498778058516,5.056732077028913
108,1474.8453906426007,5.3475509647452375
109,1559.5234477095157,5.655059742293656
110,1649.0442167330355,5.980211979007605
111,1743.6823967197265,6.324015224989951
